date,city,team1,team2,toss,decision,venue,result,winner,mom,match_no
2008-05-14,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,1.0,Mumbai Indians,ST Jayasuriya,36.0
2008-05-15,Delhi,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Feroz Shah Kotla,1.0,Delhi Daredevils,A Mishra,37.0
2008-05-16,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,1.0,Mumbai Indians,SM Pollock,38.0
2008-05-17,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,1.0,Rajasthan Royals,GC Smith,39.0
2008-05-17,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Feroz Shah Kotla,1.0,Kings XI Punjab,DPMD Jayawardene,40.0
2008-05-18,Hyderabad,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",1.0,Mumbai Indians,DJ Bravo,41.0
2008-05-18,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,1.0,Chennai Super Kings,M Ntini,42.0
2008-05-19,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,M Chinnaswamy Stadium,1.0,Delhi Daredevils,SP Goswami,43.0
2008-05-20,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,1.0,Rajasthan Royals,YK Pathan,44.0
2008-05-21,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Wankhede Stadium,1.0,Kings XI Punjab,SE Marsh,45.0
2008-05-21,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",1.0,Royal Challengers Bangalore,A Kumble,46.0
2008-05-23,Chandigarh,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,SE Marsh,47.0
2008-05-24,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Feroz Shah Kotla,1.0,Delhi Daredevils,KD Karthik,48.0
2008-05-24,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",1.0,Rajasthan Royals,JA Morkel,49.0
2008-05-25,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",1.0,Royal Challengers Bangalore,R Vinay Kumar,50.0
2008-05-25,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Eden Gardens,1.0,Kolkata Knight Riders,Umar Gul,51.0
2008-05-26,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,1.0,Rajasthan Royals,Sohail Tanvir,52.0
2008-05-27,Hyderabad,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",1.0,Chennai Super Kings,SK Raina,53.0
2008-05-28,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,1.0,Mumbai Indians,CRD Fernando,54.0
2008-05-28,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,SE Marsh,55.0
2008-05-30,Mumbai,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,field,Wankhede Stadium,1.0,Rajasthan Royals,SR Watson,56.0
2008-05-31,Mumbai,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Wankhede Stadium,1.0,Chennai Super Kings,M Ntini,57.0
2008-06-01,Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,1.0,Rajasthan Royals,YK Pathan,58.0
2009-04-18,Cape Town,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Newlands,1.0,Royal Challengers Bangalore,R Dravid,59.0
2009-04-18,Cape Town,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Newlands,1.0,Mumbai Indians,SR Tendulkar,60.0
2009-04-19,Cape Town,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Newlands,1.0,Delhi Daredevils,DL Vettori,61.0
2009-04-19,Cape Town,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Newlands,1.0,Deccan Chargers,RP Singh,62.0
2009-04-20,Port Elizabeth,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,St George's Park,1.0,Chennai Super Kings,M Muralitharan,63.0
2009-04-21,Durban,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,1.0,Kolkata Knight Riders,CH Gayle,64.0
2009-04-22,Cape Town,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,Newlands,1.0,Deccan Chargers,AC Gilchrist,65.0
2009-04-23,Durban,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,bat,Kingsmead,1.0,Delhi Daredevils,AB de Villiers,66.0
2009-04-23,Cape Town,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands,2.0,Rajasthan Royals,YK Pathan,67.0
2009-04-24,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead,1.0,Kings XI Punjab,RS Bopara,68.0
2009-04-25,Durban,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Kingsmead,1.0,Deccan Chargers,PP Ojha,69.0
2009-04-26,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,St George's Park,1.0,Delhi Daredevils,TM Dilshan,70.0
2009-04-26,Cape Town,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Newlands,1.0,Kings XI Punjab,KC Sangakkara,71.0
2009-04-27,Durban,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Kingsmead,1.0,Deccan Chargers,HH Gibbs,72.0
2009-04-27,Port Elizabeth,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,St George's Park,1.0,Mumbai Indians,SR Tendulkar,73.0
2009-04-28,Centurion,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,SuperSport Park,1.0,Rajasthan Royals,YK Pathan,74.0
2009-04-29,Durban,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,1.0,Royal Challengers Bangalore,MV Boucher,75.0
2009-04-29,Durban,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kingsmead,1.0,Kings XI Punjab,KC Sangakkara,76.0
2009-04-30,Centurion,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,1.0,Chennai Super Kings,SK Raina,77.0
2009-04-30,Centurion,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,SuperSport Park,1.0,Delhi Daredevils,DP Nannes,78.0
2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,1.0,Mumbai Indians,JP Duminy,79.0
2009-05-01,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kingsmead,1.0,Royal Challengers Bangalore,Yuvraj Singh,80.0
2009-05-02,Johannesburg,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium,1.0,Chennai Super Kings,SB Jakati,81.0
2009-05-02,Port Elizabeth,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,St George's Park,1.0,Rajasthan Royals,YK Pathan,82.0
2009-05-03,Port Elizabeth,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park,1.0,Kings XI Punjab,DPMD Jayawardene,83.0
2009-05-03,Johannesburg,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,New Wanderers Stadium,1.0,Royal Challengers Bangalore,JH Kallis,84.0
2009-05-04,East London,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Buffalo Park,1.0,Chennai Super Kings,MS Dhoni,85.0
2009-05-05,Durban,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Kingsmead,1.0,Rajasthan Royals,GC Smith,86.0
2009-05-05,Durban,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,1.0,Delhi Daredevils,G Gambhir,87.0
2009-05-06,Centurion,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,SuperSport Park,1.0,Deccan Chargers,RG Sharma,88.0
2009-05-07,Centurion,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,1.0,Rajasthan Royals,A Singh,89.0
2009-05-07,Centurion,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,SuperSport Park,1.0,Chennai Super Kings,ML Hayden,90.0
2009-05-08,East London,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,1.0,Delhi Daredevils,A Nehra,91.0
2009-05-09,Kimberley,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval,1.0,Chennai Super Kings,S Badrinath,92.0
2009-05-09,Kimberley,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,De Beers Diamond Oval,1.0,Kings XI Punjab,DPMD Jayawardene,93.0
2009-05-10,Johannesburg,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,field,New Wanderers Stadium,1.0,Delhi Daredevils,A Mishra,94.0
2009-05-10,Port Elizabeth,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,St George's Park,1.0,Mumbai Indians,JP Duminy,95.0
2009-05-11,Kimberley,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,De Beers Diamond Oval,1.0,Deccan Chargers,DR Smith,96.0
2009-05-12,Centurion,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,SuperSport Park,1.0,Mumbai Indians,Harbhajan Singh,97.0
